Date,Value
2019/1/1,7012103.649
2019/1/2,7368988.356
2019/1/3,7564081.637
2019/1/4,7115351.219
2019/1/5,7929513.785
2019/1/6,6974865.184
2019/1/7,7286414.818
2019/1/8,8610282.076
2019/1/9,8367487.848
2019/1/10,7609635.023
2019/1/11,6853670.725
2019/1/12,6352381.994
2019/1/13,6266417.921
2019/1/14,6784730.482
2019/1/15,6111232.218
2019/1/16,6073704.513
2019/1/17,5831717.37
2019/1/18,6341863.732
2019/1/19,6354782.864
2019/1/20,7156712.105
2019/1/21,6723982.957
2019/1/22,5844342.941
2019/1/23,6683461.533
2019/1/24,7364947.571
2019/1/25,6309969.923
2019/1/26,6857448.826
2019/1/27,6393436.198
2019/1/28,6318406.831
2019/1/29,6364552.334
2019/1/30,5884537.246
2019/1/31,6731427.323
2019/2/1,6857975.372
2019/2/2,6325531.024
2019/2/3,6044025.213
2019/2/4,6411524.45
2019/2/5,6422102.205
2019/2/6,6985845.574
2019/2/7,7375022.024
2019/2/8,7184754.273
2019/2/9,6845104.348
2019/2/10,6454979.701
2019/2/11,6693602.408
2019/2/12,6031364.558
2019/2/13,6976103.877
2019/2/14,6566282.272
2019/2/15,5762323.416
2019/2/16,6898485.341
2019/2/17,7185045.431
2019/2/18,7556019.109
2019/2/19,7748245.938
2019/2/20,6596656.215
2019/2/21,6051778.486
2019/2/22,8096363.882
2019/2/23,7190247.783
2019/2/24,7119748.032
2019/2/25,6913971.366
2019/2/26,7878415.307
2019/2/27,6801908.847
2019/2/28,7350871.435
2019/3/1,7830758.118
2019/3/2,6565214.955
2019/3/3,7016670.618
2019/3/4,6497311.764
2019/3/5,7114388.352
2019/3/6,6388631.338
2019/3/7,7588198.88
2019/3/8,7193574.076
2019/3/9,7087594.993
2019/3/10,6690849.408
2019/3/11,6977449.877
2019/3/12,7088005.704
2019/3/13,6637474.194
2019/3/14,7600598.594
2019/3/15,7723228.792
2019/3/16,8496146.107
2019/3/17,7297849.339
2019/3/18,8269486.756
2019/3/19,8830120.093
2019/3/20,8742662.153
2019/3/21,7388901.058
2019/3/22,8113657.072
2019/3/23,7382484.151
2019/3/24,7499624.087
2019/3/25,7512795.861
2019/3/26,6780907.838
2019/3/27,7721974.785
2019/3/28,7609348.211
2019/3/29,7807462.6
2019/3/30,7321449.75
2019/3/31,7280099.538
2019/4/1,7260086.688
2019/4/2,9796335.107
2019/4/3,9794906.734
2019/4/4,9872137.446
2019/4/5,10526385.51
2019/4/6,9151289.68
2019/4/7,9465714.638
2019/4/8,10509444.22
2019/4/9,9214713.996
2019/4/10,10332304.74
2019/4/11,10673185.07
2019/4/12,10032844.69
2019/4/13,8912797.683
2019/4/14,8025830.568
2019/4/15,9812670.32
2019/4/16,9626718.555
2019/4/17,9679415.784
2019/4/18,10319254.18
2019/4/19,10531918.66
