Date,Value
2019/1/1,223626548.7
2019/1/2,488767286.2
2019/1/3,586335098.6
2019/1/4,540805337.8
2019/1/5,319832893.3
2019/1/6,295057199.4
2019/1/7,620754635.7
2019/1/8,590024024.1
2019/1/9,630379615.8
2019/1/10,671294824.4
2019/1/11,1089515520
2019/1/12,270915665.3
2019/1/13,236158267.2
2019/1/14,588158822
2019/1/15,1270645847
2019/1/16,622121356.1
2019/1/17,502064339
2019/1/18,449808595.9
2019/1/19,306127868.4
2019/1/20,240365948.2
2019/1/21,488189514.5
2019/1/22,560917561
2019/1/23,538919234.4
2019/1/24,477934358.1
2019/1/25,456544872.1
2019/1/26,292643247.2
2019/1/27,223512708.8
2019/1/28,598393585.4
2019/1/29,502734964.4
2019/1/30,737418316.9
2019/1/31,574609830.7
2019/2/1,611007305.3
2019/2/2,315786229.9
2019/2/3,265197431.5
2019/2/4,353232913.2
2019/2/5,414929550.4
2019/2/6,496046280.2
2019/2/7,475540835.9
2019/2/8,552614639
2019/2/9,290308690.9
2019/2/10,273943900.7
2019/2/11,512333681.4
2019/2/12,494313528.4
2019/2/13,679292515
2019/2/14,465606911.5
2019/2/15,475673471.4
2019/2/16,363956258.2
2019/2/17,237971659.1
2019/2/18,689163299
2019/2/19,719387605.3
2019/2/20,696700438.7
2019/2/21,658222916.5
2019/2/22,594309375.2
2019/2/23,489507893
2019/2/24,436413535.3
2019/2/25,788388101.2
2019/2/26,592375975.3
2019/2/27,573599563.2
2019/2/28,936111689.3
2019/3/1,536410480.5
2019/3/2,440970166.2
2019/3/3,260455173.2
2019/3/4,510664925.1
2019/3/5,545495184.6
2019/3/6,603814020.8
2019/3/7,598136964
2019/3/8,621749744.8
2019/3/9,335332056.8
2019/3/10,289475544
2019/3/11,581817561.2
2019/3/12,634318677.2
2019/3/13,632556077.3
2019/3/14,715988875.3
2019/3/15,544675740.5
2019/3/16,360840832.1
2019/3/17,249331295.6
2019/3/18,597904327.9
2019/3/19,609610214.5
2019/3/20,649248713.7
2019/3/21,650496386.4
2019/3/22,528282764.5
2019/3/23,315765407.9
2019/3/24,288672590
2019/3/25,596522167.6
2019/3/26,604089195
2019/3/27,624205341.9
2019/3/28,625086884.9
2019/3/29,818224153.7
2019/3/30,350278425.9
2019/3/31,421441500.8
2019/4/1,640470349.7
2019/4/2,1458650931
2019/4/3,1183522596
2019/4/4,1008344651
2019/4/5,898533778.5
2019/4/6,426663923.5
2019/4/7,441363438.7
2019/4/8,983977267.4
2019/4/9,877070582.1
2019/4/10,851450827.8
2019/4/11,1050019755
2019/4/12,693684833.3
2019/4/13,423377389.3
2019/4/14,550425596.9
2019/4/15,804147839.2
2019/4/16,645003301.7
2019/4/17,896458088
2019/4/18,694249179.2
2019/4/19,691322116.1
2019/4/20,373941308.5
2019/4/21,360713964.5
2019/4/22,740397862.7
2019/4/23,825599122.6
2019/4/24,1576941009
2019/4/25,826381786.8
2019/4/26,1196016426
2019/4/27,442516045.1
2019/4/28,426337706.7
2019/4/29,886065657.8
2019/4/30,841828231.1
2019/5/1,878862399.1
2019/5/2,760391105.9
2019/5/3,858064130.8
2019/5/4,489890940.8
2019/5/5,446363838.2
2019/5/6,769428196.7
2019/5/7,1041193669
2019/5/8,1026598913
2019/5/9,1251747787
2019/5/10,1285152265
2019/5/11,890773875.6
2019/5/12,1047479224
2019/5/13,1691655708
2019/5/14,1659251076
2019/5/15,1595050697
2019/5/16,1694528054
2019/5/17,1298197114
2019/5/18,688963903.7
2019/5/19,776463133.5
2019/5/20,1127760758
2019/5/21,1011724991
2019/5/22,1126821700
2019/5/23,1180520165
2019/5/24,1291010564
2019/5/25,551935634.9
2019/5/26,848987065.9
2019/5/27,1318870008
2019/5/28,1475454598
2019/5/29,2715969883
2019/5/30,1307364486
2019/5/31,2139391264
2019/6/1,950272921.7
2019/6/2,661260854.1
2019/6/3,1387869417
2019/6/4,2210912218
2019/6/5,2554143447
2019/6/6,2028322129
2019/6/7,1100908052
2019/6/8,537539563.5
2019/6/9,429940401.8
2019/6/10,1024400574
2019/6/11,1596486462
2019/6/12,1164520570
2019/6/13,1133834031
2019/6/14,1268348918
2019/6/15,856304521.3
2019/6/16,1037160332
2019/6/17,2950935222
2019/6/18,2182288636
2019/6/19,1908684407
2019/6/20,1190905554
2019/6/21,1529747838
2019/6/22,2222444545
2019/6/23,1181274913
2019/6/24,1758426569
2019/6/25,1831245148
2019/6/26,2930019256
2019/6/27,2491886549
2019/6/28,2653064699
2019/6/29,1357452936
2019/6/30,1651368348
2019/7/1,1639029426
2019/7/2,1813299812
2019/7/3,1618383339
2019/7/4,1933335669
2019/7/5,1176057043
2019/7/6,639979718
2019/7/7,561967420.1
2019/7/8,2099126798
2019/7/9,1779344024
2019/7/10,3158872125
2019/7/11,1909308953
2019/7/12,1573448471
2019/7/13,703409877.2
2019/7/14,880311916.4
2019/7/15,1237233738
2019/7/16,1554876517
2019/7/17,1898295642
2019/7/18,1363791605
2019/7/19,2126938201
2019/7/20,835319633.8
2019/7/21,682036367.3
2019/7/22,1027285548
2019/7/23,946331234.6
2019/7/24,1334346530
2019/7/25,1029705255
2019/7/26,993970297.7
2019/7/27,586372755.5
2019/7/28,379230727.6
2019/7/29,4112257571
2019/7/30,1280347893
2019/7/31,1033351135
2019/8/1,1063515473
2019/8/2,1276543414
2019/8/3,533502021
2019/8/4,584301307
2019/8/5,1783008179
2019/8/6,1820577410
2019/8/7,1528500615
2019/8/8,1409255303
2019/8/9,1423908955
2019/8/10,796863848.4
2019/8/11,577446710.7
