Time,BTC_Price,ETH _Price,Ripple_Price,Miner's_Revenue,Transaction_Vol,Exchange_Vol,Gold_Price,MSCI_World,Average_Block_Size
2019/1/2,3898.197488,154.4263688,0.373486542,7368988.356,241928399.2,488767286.2,1287.2,1881.15,0.947860662
2019/1/3,3784.388635,147.0620868,0.354332623,7564081.637,252710143.7,586335098.6,1287.95,1853.18,0.966222342
2019/1/4,3827.524594,153.442377,0.356292907,7115351.219,203230963.1,540805337.8,1290.35,1904.18,0.959198758
2019/1/7,4001.018278,150.3461318,0.36240317,7286414.818,278935705.9,620754635.7,1291.5,1919.75,0.984752745
2019/1/8,3992.622789,149.0527627,0.363734873,8610282.076,314915700.8,590024024.1,1283.9,1935.79,0.86793
2019/1/9,4004.259036,149.6298562,0.36941635,8367487.848,340650855.4,630379615.8,1281.3,1950.99,0.884137811
2019/1/10,3627.90345,126.9298039,0.327923986,7609635.023,413021289.1,671294824.4,1292.4,1957.69,0.970871821
2019/1/11,3624.161421,124.9705742,0.327179161,6853670.725,465176834.1,1089515520,1292.8,1957.17,0.983164703
2019/1/14,3666.945194,128.3235839,0.332465497,6784730.482,170721560.3,588158822,1293.7,1948.16,0.956647966
2019/1/15,3581.293015,120.3298761,0.324128591,6111232.218,266949739.4,1270645847,1289.35,1963.61,1.065034848
2019/1/16,3606.986576,122.4209138,0.327294516,6073704.513,268546359.5,622121356.1,1290.5,1966.5,1.11209812
2019/1/17,3640.129131,122.6477516,0.327354014,5831717.37,237255849.8,502064339,1294,1975.61,1.097214181
2019/1/18,3609.426736,119.4851914,0.321018452,6341863.732,206239337.2,449808595.9,1285.05,2000.76,1.037986
2019/1/21,3535.623393,115.9188431,0.318364631,6723982.957,217211992.5,488189514.5,1278.7,2000.77,0.943183713
2019/1/22,3577.30835,117.9757198,0.318073191,5844342.941,200754428,560917561,1284.75,1978.83,1.055254915
2019/1/23,3551.893821,116.3134366,0.31430992,6683461.533,209940367.5,538919234.4,1284.9,1980.15,1.026111377
2019/1/24,3567.588934,116.326358,0.315671,7364947.571,204197869.7,477934358.1,1279.75,1983.23,0.911348741
2019/1/25,3561.350498,114.9673665,0.313558217,6309969.923,151516265.2,456544872.1,1282.95,2001.86,1.017360051
2019/1/28,3435.052514,105.6671558,0.292854599,6318406.831,162815294.3,598393585.4,1301,1989.18,1.022644421
2019/1/29,3395.823763,104.2278758,0.286000094,6364552.334,219370864,502734964.4,1308.35,1989.6,1.010222788
2019/1/30,3437.895866,107.669886,0.318169518,5884537.246,125314902.4,737418316.9,1312.95,2010.95,1.074707971
2019/1/31,3410.131616,105.7392361,0.307163335,6731427.323,160951786,574609830.7,1322.5,2028.49,1.015420213
2019/2/1,3445.049891,106.6349477,0.305512049,6857975.372,112849977.6,611007305.3,1320.75,2029.55,1.024592437
2019/2/4,3411.387962,106.0266756,0.294600196,6411524.45,80969399.13,353232913.2,1311,2037.76,1.012398531
2019/2/5,3426.465011,106.1355865,0.29577355,6422102.205,63553033.78,414929550.4,1314,2051.36,1.051188286
