Time,BTC_Price,ETH _Price,Ripple_Price,Num,Miner's_Revenue,Transaction_Vol,Exchange_Vol,Gold_Price,MSCI_World,Average_Block_Size
2019/1/1,3808.117832,139.1546444,0.36132228,17457600,7012103.649,255956548.2,223626548.7,#N/A,1883.93,0.801778946
2019/1/2,3898.197488,154.4263688,0.373486542,17459487.5,7368988.356,241928399.2,488767286.2,1287.2,1881.15,0.947860662
2019/1/3,3784.388635,147.0620868,0.354332623,17460225,7564081.637,252710143.7,586335098.6,1287.95,1853.18,0.966222342
2019/1/4,3827.524594,153.442377,0.356292907,17463287.5,7115351.219,203230963.1,540805337.8,1290.35,1904.18,0.959198758
2019/1/5,3798.613955,154.3017569,0.350902338,17465325,7929513.785,293647134.8,319832893.3,#N/A,#N/A,0.812945822
2019/1/6,4045.993775,155.9402832,0.365484443,17465762.5,6974865.184,182621668.1,295057199.4,#N/A,#N/A,0.82667539
2019/1/7,4001.018278,150.3461318,0.36240317,17468850,7286414.818,278935705.9,620754635.7,1291.5,1919.75,0.984752745
2019/1/8,3992.622789,149.0527627,0.363734873,17470962.5,8610282.076,314915700.8,590024024.1,1283.9,1935.79,0.86793
2019/1/9,4004.259036,149.6298562,0.36941635,17471362.5,8367487.848,340650855.4,630379615.8,1281.3,1950.99,0.884137811
2019/1/10,3627.90345,126.9298039,0.327923986,17474962.5,7609635.023,413021289.1,671294824.4,1292.4,1957.69,0.970871821
2019/1/11,3624.161421,124.9705742,0.327179161,17476812.5,6853670.725,465176834.1,1089515520,1292.8,1957.17,0.983164703
2019/1/12,3617.022078,124.3293106,0.32798063,17476900,6352381.994,245745577.8,270915665.3,#N/A,#N/A,0.896714659
2019/1/13,3508.670108,115.3398954,0.314443953,17480250,6266417.921,165382202.2,236158267.2,#N/A,#N/A,0.853370891
2019/1/14,3666.945194,128.3235839,0.332465497,17482112.5,6784730.482,170721560.3,588158822,1293.7,1948.16,0.956647966
2019/1/15,3581.293015,120.3298761,0.324128591,17482425,6111232.218,266949739.4,1270645847,1289.35,1963.61,1.065034848
2019/1/16,3606.986576,122.4209138,0.327294516,17485425,6073704.513,268546359.5,622121356.1,1290.5,1966.5,1.11209812
2019/1/17,3640.129131,122.6477516,0.327354014,17487012.5,5831717.37,237255849.8,502064339,1294,1975.61,1.097214181
2019/1/18,3609.426736,119.4851914,0.321018452,17487950,6341863.732,206239337.2,449808595.9,1285.05,2000.76,1.037986
2019/1/19,3687.301961,123.4879912,0.328141129,17490400,6354782.864,208367429.9,306127868.4,#N/A,#N/A,0.95912206
2019/1/20,3538.313723,117.5152317,0.31693922,17492362.5,7156712.105,205575557,240365948.2,#N/A,#N/A,0.805785057
2019/1/21,3535.623393,115.9188431,0.318364631,17493487.5,6723982.957,217211992.5,488189514.5,1278.7,2000.77,0.943183713
2019/1/22,3577.30835,117.9757198,0.318073191,17495600,5844342.941,200754428,560917561,1284.75,1978.83,1.055254915
2019/1/23,3551.893821,116.3134366,0.31430992,17497687.5,6683461.533,209940367.5,538919234.4,1284.9,1980.15,1.026111377
2019/1/24,3567.588934,116.326358,0.315671,17499012.5,7364947.571,204197869.7,477934358.1,1279.75,1983.23,0.911348741
2019/1/25,3561.350498,114.9673665,0.313558217,17501075,6309969.923,151516265.2,456544872.1,1282.95,2001.86,1.017360051
2019/1/26,3557.039915,115.04004,0.311729981,17503262.5,6857448.826,184223340.9,292643247.2,#N/A,#N/A,0.98073546
2019/1/27,3537.614131,111.8220769,0.305317737,17504562.5,6393436.198,157218439.6,223512708.8,#N/A,#N/A,0.881242818
2019/1/28,3435.052514,105.6671558,0.292854599,17506837.5,6318406.831,162815294.3,598393585.4,1301,1989.18,1.022644421
2019/1/29,3395.823763,104.2278758,0.286000094,17508662.5,6364552.334,219370864,502734964.4,1308.35,1989.6,1.010222788
2019/1/30,3437.895866,107.669886,0.318169518,17510100,5884537.246,125314902.4,737418316.9,1312.95,2010.95,1.074707971
2019/1/31,3410.131616,105.7392361,0.307163335,17512175,6731427.323,160951786,574609830.7,1322.5,2028.49,1.015420213
2019/2/1,3445.049891,106.6349477,0.305512049,17514112.5,6857975.372,112849977.6,611007305.3,1320.75,2029.55,1.024592437
2019/2/2,3461.935117,108.5711318,0.306847698,17515612.5,6325531.024,119780828,315786229.9,#N/A,#N/A,0.981337799
2019/2/3,3413.021616,106.0217227,0.298177846,17517450,6044025.213,73800005.49,265197431.5,#N/A,#N/A,0.93550021
2019/2/4,3411.387962,106.0266756,0.294600196,17519625,6411524.45,80969399.13,353232913.2,1311,2037.76,1.012398531
2019/2/5,3426.465011,106.1355865,0.29577355,17521150,6422102.205,63553033.78,414929550.4,1314,2051.36,1.051188286
2019/2/6,3367.506365,103.3947122,0.286195185,17523287.5,6985845.574,75066281.35,496046280.2,1313.35,2047.11,1.050370409
2019/2/7,3358.873599,103.2990538,0.28825002,17525337.5,7375022.024,143900701.5,475540835.9,1306.6,2026.94,0.942216902
2019/2/8,3612.479619,117.5014851,0.308054288,17526662.5,7184754.273,58905094.73,552614639,1311.1,2020.53,0.984610681
2019/2/9,3621.268121,118.1039635,0.308792641,17529550,6845104.348,301771987.6,290308690.9,#N/A,#N/A,0.934364993
2019/2/10,3642.022359,123.5778682,0.306387172,17530987.5,6454979.701,106699453.5,273943900.7,#N/A,#N/A,0.899240979
2019/2/11,3590.618484,119.7266154,0.299148814,17532175,6693602.408,153422578.8,512333681.4,1306.75,2021.6,1.09110111
2019/2/12,3587.902466,120.8287019,0.300996538,17534562.5,6031364.558,145036524.8,494313528.4,1311.6,2045.12,1.304964063
2019/2/13,3576.085373,120.6902259,0.300924264,17536587.5,6976103.877,163866857.1,679292515,1311.15,2052.76,1.153285621
2019/2/14,3561.916383,119.6809132,0.298294111,17537725,6566282.272,238668724.2,465606911.5,1305.65,2047.56,1.111246972
2019/2/15,3565.006924,120.3600254,0.29851294,17539812.5,5762323.416,162192885.4,475673471.4,1318,2066.58,1.101274228
2019/2/16,3584.736003,121.8048811,0.297802434,17541862.5,6898485.341,120798170.1,363956258.2,#N/A,#N/A,1.008760027
2019/2/17,3622.757429,132.8064901,0.299771529,17543250,7185045.431,93191938.53,237971659.1,#N/A,#N/A,0.881877836
2019/2/18,3866.129217,144.415396,0.319033954,17545737.5,7556019.109,224982995,689163299,1323.95,2072.62,1.080017019
2019/2/19,3895.435211,143.1372957,0.322211487,17547650,7748245.938,429150386.5,719387605.3,1329.55,2075.91,1.060471256
2019/2/20,3931.613829,147.1921435,0.327827923,17548775,6596656.215,374321248.7,696700438.7,1345.75,2083.64,1.1915221
2019/2/21,3892.261794,143.6012835,0.316343959,17550787.5,6051778.486,235445371.3,658222916.5,1335.05,2077.44,1.178449504
2019/2/22,3948.300511,147.0633042,0.319876411,17552712.5,8096363.882,196426384.2,594309375.2,1322.25,2086.97,1.085184228
2019/2/23,4110.151121,157.5305,0.331609164,17554300,7190247.783,157385980.3,489507893,#N/A,#N/A,0.982793762
2019/2/24,3754.18379,135.3831289,0.298354717,17556087.5,7119748.032,242874099,436413535.3,#N/A,#N/A,1.044065358
2019/2/25,3822.018697,137.9248749,0.326069029,17557787.5,6913971.366,400105758.7,788388101.2,1329.15,2091.83,1.109526161
2019/2/26,3796.175068,135.7259161,0.315186762,17559825,7878415.307,1734750236,592375975.3,1327.55,2091.7,1.092907348
2019/2/27,3799.381992,133.9967589,0.309173016,17561587.5,6801908.847,127504717.3,573599563.2,1326.45,2092.12,1.125122057
2019/2/28,3792.947723,134.7547241,0.312256366,17563812.5,7350871.435,226984139.5,936111689.3,1325.45,2085.84,1.130737273
2019/3/1,3810.632693,134.8645646,0.315224493,17565337.5,7830758.118,245942956.4,536410480.5,1309.95,2096.35,1.053071407
2019/3/2,3809.643391,132.1972975,0.313196571,17567275,6565214.955,156175559.7,440970166.2,#N/A,#N/A,1.155579258
2019/3/3,3782.38187,129.6457838,0.308792191,17569350,7016670.618,120293269.6,260455173.2,#N/A,#N/A,1.003580384
2019/3/4,3698.161855,125.1204395,0.300905708,17570862.5,6497311.764,79501797.94,510664925.1,1287.45,2090.4,1.104753978
2019/3/5,3840.128049,135.707659,0.313250089,17572887.5,7114388.352,216413666.7,545495184.6,1285,2087.5,1.029825181
2019/3/6,3851.998425,137.1823039,0.315546209,17574312.5,6388631.338,278485172.5,603814020.8,1285.55,2078.69,1.235649305
2019/3/7,3855.923168,136.1424407,0.311513911,17575900,7588198.88,148582990,598136964,1286.4,2061.41,1.008441944
2019/3/8,3839.233553,132.4414211,0.305974199,17576412.5,7193574.076,136348518.4,621749744.8,1294.1,2051.12,0.998636589
2019/3/9,3910.361167,136.2969608,0.311577207,17579525,7087594.993,317288682.5,335332056.8,#N/A,#N/A,0.882423514
2019/3/10,3903.911951,135.2256631,0.311788306,17581225,6690849.408,111238999.4,289475544,#N/A,#N/A,0.783473353
2019/3/11,3851.568922,132.0801075,0.308886586,17581937.5,6977449.877,83936704.46,581817561.2,1296.35,2074.66,1.099574324
2019/3/12,3858.914824,132.6961651,0.308543766,17584712.5,7088005.704,116557011.3,634318677.2,1296.95,2083.38,1.004161133
2019/3/13,3851.957466,131.1337124,0.312569978,17586487.5,6637474.194,209075742.7,632556077.3,1308.4,2095.67,1.163580696
2019/3/14,3853.783265,131.3092826,0.309386946,17587450,7600598.594,159688391.2,715988875.3,1299.2,2096.32,1.043826619
2019/3/15,3901.914207,135.6029427,0.313049335,17590587.5,7723228.792,168146954.6,544675740.5,1302.65,2108.78,0.987588412
2019/3/16,3989.796077,140.6288776,0.317420259,17592512.5,8496146.107,296835128.5,360840832.1,#N/A,#N/A,0.788659847
2019/3/17,3967.143494,138.1430523,0.314186479,17593012.5,7297849.339,184298451.3,249331295.6,#N/A,#N/A,0.742798205
2019/3/18,3969.440146,137.0632162,0.313200719,17596362.5,8269486.756,105693358.7,597904327.9,1305.35,2117.99,0.926942733
2019/3/19,3996.167904,137.9280771,0.314561223,17598550,8830120.093,115735520.4,609610214.5,1308.35,2121.47,0.909794954
2019/3/20,4030.655276,138.6858925,0.316510452,17600562.5,8742662.153,103002102,649248713.7,1303,2112.05,0.992002373
2019/3/21,3976.27385,134.5865742,0.309382381,17602087.5,7388901.058,147543802.3,650496386.4,1317.3,2127.93,1.039646357
2019/3/22,3983.887646,135.8933679,0.309859168,17604100,8113657.072,166103501.5,528282764.5,1311.1,2094.81,0.944549
2019/3/23,3981.776033,136.4750406,0.309827443,17605900,7382484.151,67712123.91,315765407.9,#N/A,#N/A,0.840116655
2019/3/24,3970.666988,135.4194404,0.306078259,17608150,7499624.087,57296676.79,288672590,#N/A,#N/A,0.753646587
2019/3/25,3908.238839,133.0931578,0.301029467,17609625,7512795.861,48747233.85,596522167.6,1319.35,2087.06,1.056967818
2019/3/26,3917.763402,133.1643399,0.299389832,17611437.5,6780907.838,133869301.2,604089195,1315.25,2102.62,1.207859007
2019/3/27,4027.007918,139.2153074,0.308906018,17613562.5,7721974.785,77182620.04,624205341.9,1318.25,2094.02,1.199629819
2019/3/28,4010.937462,137.3366119,0.304765569,17615162.5,7609348.211,135317924.5,625086884.9,1306.9,2095.18,1.217287404
2019/3/29,4089.46104,142.3689775,0.306751437,17617250,7807462.6,72542414.44,818224153.7,1291.15,2107.74,1.233981333
2019/3/30,4091.891038,142.1077452,0.310007093,17618625,7321449.75,168998311.2,350278425.9,#N/A,#N/A,1.204920209
2019/3/31,4094.317815,141.2767852,0.308098727,17620675,7280099.538,104313150.5,421441500.8,#N/A,#N/A,1.173565871
2019/4/1,4138.417808,141.2956888,0.312174062,17622100,7260086.688,53646013.34,640470349.7,1291.9,2131.79,1.205358125
2019/4/2,4903.719462,165.4668805,0.355325199,17624262.5,9796335.107,178833230.7,1458650931,1287.2,2131.71,1.215506975
2019/4/3,4960.227603,160.2395728,0.341348262,17625775,9794906.734,879572364.1,1183522596,1291.85,2143.02,1.248329993
2019/4/4,4911.269702,157.8657369,0.331234683,17626200,9872137.446,963281105.1,1008344651,1291.6,2142.75,1.2129581
2019/4/5,5033.225484,165.9389854,0.363378416,17629750,10526385.51,476408009.6,898533778.5,1288.9,2149.85,1.240968854
2019/4/6,5044.356846,165.4087949,0.35296781,17631262.5,9151289.68,335980018.9,426663923.5,#N/A,#N/A,1.211691266
2019/4/7,5189.111956,174.4636596,0.361907749,17631750,9465714.638,329404453.3,441363438.7,#N/A,#N/A,1.138896872
2019/4/8,5283.423025,180.7795012,0.358323496,17635225,10509444.22,382675686,983977267.4,1297.1,2152.89,1.218371115
