Date,Price,Open,High,Low,Vol.,Change %,,Time,
2019/1/1,"1,883.93","1,885.41","1,886.77","1,883.93",-,0.00%,,2019/1/1,1883.93
2019/1/2,"1,881.15","1,885.13","1,885.70","1,857.89",-,-0.15%,,2019/1/2,1881.15
2019/1/3,"1,853.18","1,883.14","1,884.98","1,852.71",-,-1.49%,,2019/1/3,1853.18
2019/1/4,"1,904.18","1,853.69","1,906.42","1,847.89",-,2.75%,,2019/1/4,1904.18
2019/1/7,"1,919.75","1,904.10","1,927.69","1,904.03",-,0.82%,,2019/1/5,#N/A
2019/1/8,"1,935.79","1,920.23","1,940.13","1,919.54",-,0.84%,,2019/1/6,#N/A
2019/1/9,"1,950.99","1,935.62","1,957.13","1,935.60",-,0.79%,,2019/1/7,1919.75
2019/1/10,"1,957.69","1,952.68","1,957.69","1,938.59",-,0.34%,,2019/1/8,1935.79
2019/1/11,"1,957.17","1,956.28","1,961.39","1,946.20",-,-0.03%,,2019/1/9,1950.99
2019/1/14,"1,948.16","1,956.95","1,957.57","1,941.31",-,-0.46%,,2019/1/10,1957.69
2019/1/15,"1,963.61","1,947.86","1,963.99","1,947.04",-,0.79%,,2019/1/11,1957.17
2019/1/16,"1,966.50","1,963.08","1,970.98","1,961.06",-,0.15%,,2019/1/12,#N/A
2019/1/17,"1,975.61","1,966.27","1,981.06","1,960.09",-,0.46%,,2019/1/13,#N/A
2019/1/18,"2,000.76","1,976.57","2,002.26","1,976.57",-,1.27%,,2019/1/14,1948.16
2019/1/21,"2,000.77","2,000.18","2,002.47","1,999.23",-,0.00%,,2019/1/15,1963.61
2019/1/22,"1,978.83","2,000.83","2,001.19","1,971.65",-,-1.10%,,2019/1/16,1966.5
2019/1/23,"1,980.15","1,978.89","1,988.33","1,968.78",-,0.07%,,2019/1/17,1975.61
2019/1/24,"1,983.23","1,980.67","1,985.24","1,974.32",-,0.16%,,2019/1/18,2000.76
2019/1/25,"2,001.86","1,982.00","2,005.27","1,981.87",-,0.94%,,2019/1/19,#N/A
2019/1/28,"1,989.18","2,003.00","2,003.52","1,979.90",-,-0.63%,,2019/1/20,#N/A
2019/1/29,"1,989.60","1,988.81","1,996.21","1,985.56",-,0.02%,,2019/1/21,2000.77
2019/1/30,"2,010.95","1,989.54","2,019.47","1,988.86",-,1.07%,,2019/1/22,1978.83
2019/1/31,"2,028.49","2,014.45","2,029.69","2,014.43",-,0.87%,,2019/1/23,1980.15
2019/2/1,"2,029.55","2,027.35","2,033.32","2,024.40",-,0.05%,,2019/1/24,1983.23
2019/2/4,"2,037.76","2,028.93","2,037.87","2,023.54",-,0.40%,,2019/1/25,2001.86
2019/2/5,"2,051.36","2,037.97","2,051.99","2,037.90",-,0.67%,,2019/1/26,#N/A
2019/2/6,"2,047.11","2,051.34","2,052.52","2,043.71",-,-0.21%,,2019/1/27,#N/A
2019/2/7,"2,026.94","2,045.91","2,046.36","2,017.40",-,-0.99%,,2019/1/28,1989.18
2019/2/8,"2,020.53","2,025.89","2,025.89","2,008.01",-,-0.32%,,2019/1/29,1989.6
2019/2/11,"2,021.60","2,020.25","2,026.47","2,018.87",-,0.05%,,2019/1/30,2010.95
2019/2/12,"2,045.12","2,021.54","2,047.84","2,021.27",-,1.16%,,2019/1/31,2028.49
2019/2/13,"2,052.76","2,046.25","2,058.11","2,046.14",-,0.37%,,2019/2/1,2029.55
2019/2/14,"2,047.56","2,051.03","2,054.74","2,041.83",-,-0.25%,,2019/2/2,#N/A
2019/2/15,"2,066.58","2,048.84","2,068.56","2,045.65",-,0.93%,,2019/2/3,#N/A
2019/2/18,"2,072.62","2,068.27","2,073.94","2,068.27",-,0.29%,,2019/2/4,2037.76
2019/2/19,"2,075.91","2,072.57","2,080.34","2,067.68",-,0.16%,,2019/2/5,2051.36
2019/2/20,"2,083.64","2,076.70","2,086.11","2,076.64",-,0.37%,,2019/2/6,2047.11
2019/2/21,"2,077.44","2,083.34","2,084.81","2,071.56",-,-0.30%,,2019/2/7,2026.94
2019/2/22,"2,086.97","2,076.48","2,088.84","2,075.50",-,0.46%,,2019/2/8,2020.53
2019/2/25,"2,091.83","2,087.36","2,100.65","2,087.35",-,0.23%,,2019/2/9,#N/A
2019/2/26,"2,091.70","2,092.11","2,097.84","2,088.20",-,-0.01%,,2019/2/10,#N/A
2019/2/27,"2,092.12","2,093.33","2,094.22","2,082.44",-,0.02%,,2019/2/11,2021.6
2019/2/28,"2,085.84","2,091.31","2,091.93","2,084.00",-,-0.30%,,2019/2/12,2045.12
2019/3/1,"2,096.35","2,084.72","2,100.52","2,084.68",-,0.50%,,2019/2/13,2052.76
