Date,Value
2019/1/1,17457600
2019/1/2,17459487.5
2019/1/3,17460225
2019/1/4,17463287.5
2019/1/5,17465325
2019/1/6,17465762.5
2019/1/7,17468850
2019/1/8,17470962.5
2019/1/9,17471362.5
2019/1/10,17474962.5
2019/1/11,17476812.5
2019/1/12,17476900
2019/1/13,17480250
2019/1/14,17482112.5
2019/1/15,17482425
2019/1/16,17485425
2019/1/17,17487012.5
2019/1/18,17487950
2019/1/19,17490400
2019/1/20,17492362.5
2019/1/21,17493487.5
2019/1/22,17495600
2019/1/23,17497687.5
2019/1/24,17499012.5
2019/1/25,17501075
2019/1/26,17503262.5
2019/1/27,17504562.5
2019/1/28,17506837.5
2019/1/29,17508662.5
2019/1/30,17510100
2019/1/31,17512175
2019/2/1,17514112.5
2019/2/2,17515612.5
2019/2/3,17517450
2019/2/4,17519625
2019/2/5,17521150
2019/2/6,17523287.5
2019/2/7,17525337.5
2019/2/8,17526662.5
2019/2/9,17529550
2019/2/10,17530987.5
2019/2/11,17532175
2019/2/12,17534562.5
2019/2/13,17536587.5
2019/2/14,17537725
2019/2/15,17539812.5
2019/2/16,17541862.5
2019/2/17,17543250
2019/2/18,17545737.5
2019/2/19,17547650
2019/2/20,17548775
2019/2/21,17550787.5
2019/2/22,17552712.5
2019/2/23,17554300
2019/2/24,17556087.5
2019/2/25,17557787.5
2019/2/26,17559825
2019/2/27,17561587.5
2019/2/28,17563812.5
2019/3/1,17565337.5
2019/3/2,17567275
2019/3/3,17569350
2019/3/4,17570862.5
2019/3/5,17572887.5
2019/3/6,17574312.5
2019/3/7,17575900
2019/3/8,17576412.5
2019/3/9,17579525
2019/3/10,17581225
2019/3/11,17581937.5
2019/3/12,17584712.5
2019/3/13,17586487.5
2019/3/14,17587450
2019/3/15,17590587.5
2019/3/16,17592512.5
2019/3/17,17593012.5
2019/3/18,17596362.5
2019/3/19,17598550
2019/3/20,17600562.5
2019/3/21,17602087.5
2019/3/22,17604100
2019/3/23,17605900
2019/3/24,17608150
2019/3/25,17609625
2019/3/26,17611437.5
2019/3/27,17613562.5
2019/3/28,17615162.5
2019/3/29,17617250
2019/3/30,17618625
2019/3/31,17620675
2019/4/1,17622100
2019/4/2,17624262.5
2019/4/3,17625775
2019/4/4,17626200
2019/4/5,17629750
2019/4/6,17631262.5
2019/4/7,17631750
2019/4/8,17635225
2019/4/9,17636612.5
2019/4/10,17637262.5
2019/4/11,17640562.5
2019/4/12,17642525
2019/4/13,17642762.5
2019/4/14,17645650
2019/4/15,17647175
2019/4/16,17648275
2019/4/17,17650825
2019/4/18,17652987.5
2019/4/19,17653825
2019/4/20,17656300
2019/4/21,17658400
2019/4/22,17659387.5
2019/4/23,17661625
2019/4/24,17663550
2019/4/25,17664912.5
2019/4/26,17667350
2019/4/27,17668787.5
2019/4/28,17670412.5
2019/4/29,17673012.5
2019/4/30,17674587.5
2019/5/1,17675962.5
2019/5/2,17679387.5
2019/5/3,17681212.5
2019/5/4,17681537.5
2019/5/5,17684312.5
2019/5/6,17686375
2019/5/7,17687037.5
2019/5/8,17689850
2019/5/9,17691762.5
2019/5/10,17692575
2019/5/11,17694737.5
2019/5/12,17696862.5
2019/5/13,17698137.5
2019/5/14,17700875
2019/5/15,17702800
2019/5/16,17703662.5
2019/5/17,17706462.5
2019/5/18,17708350
2019/5/19,17709175
2019/5/20,17712300
2019/5/21,17714312.5
2019/5/22,17714675
2019/5/23,17718312.5
2019/5/24,17720187.5
2019/5/25,17721750
2019/5/26,17723950
2019/5/27,17725725
2019/5/28,17728125
2019/5/29,17730162.5
2019/5/30,17731275
2019/5/31,17733875
2019/6/1,17735787.5
2019/6/2,17736787.5
2019/6/3,17738862.5
2019/6/4,17740812.5
2019/6/5,17742300
2019/6/6,17744750
2019/6/7,17746712.5
2019/6/8,17747850
2019/6/9,17750225
2019/6/10,17752062.5
2019/6/11,17753375
2019/6/12,17755350
2019/6/13,17757437.5
2019/6/14,17758875
2019/6/15,17761437.5
2019/6/16,17762812.5
2019/6/17,17764400
2019/6/18,17766550
2019/6/19,17768587.5
2019/6/20,17769900
2019/6/21,17772150
2019/6/22,17773812.5
2019/6/23,17775400
2019/6/24,17778287.5
2019/6/25,17780500
2019/6/26,17780937.5
2019/6/27,17783937.5
2019/6/28,17786162.5
2019/6/29,17786450
2019/6/30,17790375
2019/7/1,17791962.5
2019/7/2,17794062.5
2019/7/3,17796050
2019/7/4,17797475
2019/7/5,17800725
2019/7/6,17802987.5
2019/7/7,17804862.5
2019/7/8,17806800
2019/7/9,17808537.5
2019/7/10,17810475
2019/7/11,17812100
2019/7/12,17814062.5
2019/7/13,17815750
2019/7/14,17817962.5
2019/7/15,17819562.5
2019/7/16,17821612.5
2019/7/17,17823175
2019/7/18,17824837.5
2019/7/19,17825087.5
2019/7/20,17828287.5
2019/7/21,17830487.5
2019/7/22,17830600
2019/7/23,17833887.5
2019/7/24,17835662.5
2019/7/25,17836125
2019/7/26,17839725
2019/7/27,17841637.5
2019/7/28,17843700
2019/7/29,17845850
2019/7/30,17847175
2019/7/31,17849712.5
2019/8/1,17851862.5
2019/8/2,17852687.5
2019/8/3,17855750
2019/8/4,17858212.5
2019/8/5,17859575
2019/8/6,17861775
2019/8/7,17863762.5
2019/8/8,17865712.5
2019/8/9,17867487.5
2019/8/10,17869287.5
2019/8/11,17871212.5
2019/8/12,17872687.5
2019/8/13,17874825
2019/8/14,17876750
2019/8/15,17878650
2019/8/16,17880400
2019/8/17,17882000
2019/8/18,17883600
2019/8/19,17885637.5
2019/8/20,17885925
2019/8/21,17889137.5
2019/8/22,17891262.5
2019/8/23,17891450
2019/8/24,17894950
2019/8/25,17896987.5
2019/8/26,17898437.5
2019/8/27,17900162.5
2019/8/28,17902275
2019/8/29,17902500
2019/8/30,17906237.5
2019/8/31,17908037.5
2019/9/1,17910300
2019/9/2,17912125
2019/9/3,17913587.5
2019/9/4,17915562.5
2019/9/5,17917712.5
2019/9/6,17919100
2019/9/7,17921750
2019/9/8,17924062.5
2019/9/9,17924625
2019/9/10,17928087.5
2019/9/11,17930150
2019/9/12,17932225
2019/9/13,17934200
2019/9/14,17935650
2019/9/15,17938025
2019/9/16,17939862.5
2019/9/17,17941187.5
2019/9/18,17943737.5
2019/9/19,17945937.5
2019/9/20,17946712.5
