Date,Value
2019/1/1,255956548.2
2019/1/2,241928399.2
2019/1/3,252710143.7
2019/1/4,203230963.1
2019/1/5,293647134.8
2019/1/6,182621668.1
2019/1/7,278935705.9
2019/1/8,314915700.8
2019/1/9,340650855.4
2019/1/10,413021289.1
2019/1/11,465176834.1
2019/1/12,245745577.8
2019/1/13,165382202.2
2019/1/14,170721560.3
2019/1/15,266949739.4
2019/1/16,268546359.5
2019/1/17,237255849.8
2019/1/18,206239337.2
2019/1/19,208367429.9
2019/1/20,205575557
2019/1/21,217211992.5
2019/1/22,200754428
2019/1/23,209940367.5
2019/1/24,204197869.7
2019/1/25,151516265.2
2019/1/26,184223340.9
2019/1/27,157218439.6
2019/1/28,162815294.3
2019/1/29,219370864
2019/1/30,125314902.4
2019/1/31,160951786
2019/2/1,112849977.6
2019/2/2,119780828
2019/2/3,73800005.49
2019/2/4,80969399.13
2019/2/5,63553033.78
2019/2/6,75066281.35
2019/2/7,143900701.5
2019/2/8,58905094.73
2019/2/9,301771987.6
2019/2/10,106699453.5
2019/2/11,153422578.8
2019/2/12,145036524.8
2019/2/13,163866857.1
2019/2/14,238668724.2
2019/2/15,162192885.4
2019/2/16,120798170.1
2019/2/17,93191938.53
2019/2/18,224982995
2019/2/19,429150386.5
2019/2/20,374321248.7
2019/2/21,235445371.3
2019/2/22,196426384.2
2019/2/23,157385980.3
2019/2/24,242874099
2019/2/25,400105758.7
2019/2/26,1734750236
2019/2/27,127504717.3
2019/2/28,226984139.5
2019/3/1,245942956.4
2019/3/2,156175559.7
2019/3/3,120293269.6
2019/3/4,79501797.94
2019/3/5,216413666.7
2019/3/6,278485172.5
2019/3/7,148582990
2019/3/8,136348518.4
2019/3/9,317288682.5
2019/3/10,111238999.4
2019/3/11,83936704.46
2019/3/12,116557011.3
2019/3/13,209075742.7
2019/3/14,159688391.2
2019/3/15,168146954.6
2019/3/16,296835128.5
2019/3/17,184298451.3
2019/3/18,105693358.7
2019/3/19,115735520.4
2019/3/20,103002102
2019/3/21,147543802.3
2019/3/22,166103501.5
2019/3/23,67712123.91
2019/3/24,57296676.79
2019/3/25,48747233.85
2019/3/26,133869301.2
2019/3/27,77182620.04
2019/3/28,135317924.5
2019/3/29,72542414.44
2019/3/30,168998311.2
2019/3/31,104313150.5
2019/4/1,53646013.34
2019/4/2,178833230.7
2019/4/3,879572364.1
2019/4/4,963281105.1
2019/4/5,476408009.6
2019/4/6,335980018.9
2019/4/7,329404453.3
2019/4/8,382675686
2019/4/9,526197764.2
2019/4/10,411383523.4
2019/4/11,368160408.2
2019/4/12,363638962.7
2019/4/13,242714312.9
2019/4/14,106569784.7
2019/4/15,131452793.1
2019/4/16,203887934.3
2019/4/17,205894131.2
2019/4/18,242366222.4
2019/4/19,217894138.4
2019/4/20,186470171.5
2019/4/21,147414017.4
2019/4/22,179818212.2
2019/4/23,268620376.4
2019/4/24,371060447.1
2019/4/25,360348203.3
2019/4/26,346365600.4
2019/4/27,344577947.1
2019/4/28,153300178.7
2019/4/29,104885492.5
2019/4/30,254115382.6
2019/5/1,65541116
2019/5/2,51098585.51
2019/5/3,68390511.78
2019/5/4,171606287
2019/5/5,120664799.3
2019/5/6,55755075.37
2019/5/7,84401987.36
2019/5/8,147447099.5
2019/5/9,92603630.08
2019/5/10,127082999.9
2019/5/11,169471566.4
2019/5/12,358764816.2
2019/5/13,437929061.2
2019/5/14,459019962.2
2019/5/15,372592512.2
2019/5/16,284130100.1
2019/5/17,295196717.9
2019/5/18,455963414.2
2019/5/19,117316463.3
2019/5/20,293462035.9
2019/5/21,251989801.6
2019/5/22,141589252.4
2019/5/23,162680990.6
2019/5/24,151053338.9
2019/5/25,157606998.7
2019/5/26,62381654.19
2019/5/27,190510656.1
2019/5/28,179353690.6
2019/5/29,134279873.7
2019/5/30,139788877.3
2019/5/31,291707289.9
2019/6/1,174940725.8
2019/6/2,79112822.8
2019/6/3,80345418.36
2019/6/4,189061316.6
2019/6/5,298320274
2019/6/6,156168263.7
2019/6/7,155472100.7
2019/6/8,152941461.8
2019/6/9,76557021.41
2019/6/10,75192236.29
2019/6/11,137334731.2
2019/6/12,119201858.9
2019/6/13,170534084.4
2019/6/14,118173871.4
2019/6/15,165814336.8
2019/6/16,110733186.6
2019/6/17,291304564.5
2019/6/18,236199962.6
2019/6/19,91483265.55
2019/6/20,64175901.41
2019/6/21,88441301.34
2019/6/22,134167792.4
2019/6/23,210388797.6
2019/6/24,92033603.99
2019/6/25,90826286.85
2019/6/26,188227336.1
2019/6/27,521683547.9
2019/6/28,423175771.1
2019/6/29,251088678.3
2019/6/30,184877335.6
2019/7/1,172764921.6
2019/7/2,171482109.1
2019/7/3,240430091
2019/7/4,273546634
2019/7/5,130466909.3
2019/7/6,124193828.7
2019/7/7,85554897.96
2019/7/8,67612787.46
2019/7/9,277905476.8
2019/7/10,364111378.8
2019/7/11,507237487.9
2019/7/12,400745298.7
2019/7/13,223317773.9
2019/7/14,237143043
2019/7/15,163504273.4
2019/7/16,334140371.6
2019/7/17,413796084.1
2019/7/18,350207291.4
2019/7/19,400333481
2019/7/20,266367992.2
2019/7/21,231375270.5
2019/7/22,149533508.5
2019/7/23,207597158.4
2019/7/24,198778566.7
2019/7/25,207985687
2019/7/26,132194259.5
2019/7/27,122793165.2
2019/7/28,196200932.7
2019/7/29,93425734.9
2019/7/30,110257994
2019/7/31,115667921.7
2019/8/1,171671948.9
2019/8/2,173753010.8
2019/8/3,194052551.7
2019/8/4,142750701.8
2019/8/5,165486450.2
2019/8/6,360876818.6
2019/8/7,385189642.3
2019/8/8,364388175.4
2019/8/9,211151931.5
2019/8/10,180122399.3
2019/8/11,185394290.4
2019/8/12,104661395.1
2019/8/13,84492311.64
2019/8/14,193935252.6
2019/8/15,280655886.5
2019/8/16,339458149.8
2019/8/17,242929696.8
2019/8/18,91003712.31
2019/8/19,77572050.19
2019/8/20,171807868.3
2019/8/21,122315070.3
2019/8/22,236246172.9
2019/8/23,141841653.5
2019/8/24,122936632.7
2019/8/25,117754910.9
2019/8/26,102865892.8
2019/8/27,189624308.4
2019/8/28,102638637.4
2019/8/29,203978693.8
2019/8/30,157535719.8
2019/8/31,112305189.3
2019/9/1,40437358.65
2019/9/2,45179221.48
2019/9/3,153032806.8
2019/9/4,228788746.9
2019/9/5,196753395.6
2019/9/6,90967493.33
2019/9/7,210268387.8
2019/9/8,65192692.24
2019/9/9,63124156.14
2019/9/10,133582936.9
2019/9/11,109189912.1
2019/9/12,122176795.1
2019/9/13,114864653.9
2019/9/14,95214496.61
2019/9/15,55063941.31
2019/9/16,40801052.22
2019/9/17,107174306.4
2019/9/18,91392243.66
2019/9/19,90728914.37
2019/9/20,157389488.4
2019/9/21,89963558.47
2019/9/22,69869004.16
2019/9/23,59501805.67
2019/9/24,120001577.2
2019/9/25,491431838.4
2019/9/26,269030045.2
2019/9/27,286339496
2019/9/28,167290267.7
2019/9/29,99366389.5
2019/9/30,92992826.7
2019/10/1,173526590
2019/10/2,170270297.4
2019/10/3,91246610.94
2019/10/4,116784278.3
2019/10/5,92819801.41
2019/10/6,56545050.08
2019/10/7,100404346.4
2019/10/8,144876046.2
2019/10/9,68942273.4
2019/10/10,174962381.2
2019/10/11,113137559.6
2019/10/12,138474726.8
2019/10/13,30579541.65
2019/10/14,65962338.32
2019/10/15,61644447.22
2019/10/16,86738050
2019/10/17,117969721.4
2019/10/18,79993882.94
2019/10/19,94710382.22
2019/10/20,53229503.88
2019/10/21,90340986.76
2019/10/22,78014940.86
2019/10/23,89353651.52
2019/10/24,221341213.8
2019/10/25,75975960.6
2019/10/26,333681035.1
2019/10/27,657396445.3
2019/10/28,290708092.5
2019/10/29,233830897.4
2019/10/30,169991136.7
2019/10/31,145730105.2
2019/11/1,160663136.9
2019/11/2,107433320.9
2019/11/3,53740264.79
2019/11/4,47020646.32
2019/11/5,103857828.9
2019/11/6,97692940.89
2019/11/7,78710164.83
2019/11/8,73169474.05
2019/11/9,159478900.2
2019/11/10,40216982.81
2019/11/11,58075876.85
2019/11/12,99417730.88
2019/11/13,84092098.49
2019/11/14,53278229.95
2019/11/15,62094349.52
2019/11/16,102346506.7
2019/11/17,27218439.49
2019/11/18,42762607.28
2019/11/19,98039358.97
2019/11/20,80797818.39
2019/11/21,62317220.55
2019/11/22,152565570.4
2019/11/23,283120965.8
2019/11/24,74562140.93
2019/11/25,88831996.03
2019/11/26,250687896.4
2019/11/27,108471398.9
2019/11/28,220499983
2019/11/29,99775070.97
2019/11/30,117995230.2
2019/12/1,78337203.77
2019/12/2,88571039.07
2019/12/3,71586469.67
2019/12/4,50091304.5
2019/12/5,142535673.5
2019/12/6,85470713.75
2019/12/7,77922849.95
2019/12/8,34352533.79
2019/12/9,32114286.49
2019/12/10,108414489.5
2019/12/11,66161513.24
2019/12/12,53833378
2019/12/13,75073234.65
2019/12/14,52683167.62
2019/12/15,39393109.05
2019/12/16,35264356.59
2019/12/17,91191811.27
2019/12/18,106173720.2
2019/12/19,208624105.2
2019/12/20,92465911.44
2019/12/21,55147309.67
2019/12/22,25368503.34
2019/12/23,72767893.27
2019/12/24,121983509.7
2019/12/25,76336714.46
2019/12/26,39255636.02
2019/12/27,59760787.21
2019/12/28,71840951.38
2019/12/29,36039614.74
2019/12/30,46435451
2019/12/31,61748083.66
2020/1/1,47782090.7
2020/1/2,28600968.86
2020/1/3,68282971.9
2020/1/4,136870284.6
2020/1/5,50181826.92
2020/1/6,48177558.29
2020/1/7,114010548.1
2020/1/8,210649283.9
2020/1/9,224003807.4
2020/1/10,108323770.5
2020/1/11,153599795.4
2020/1/12,75103205.5
2020/1/13,39375157.85
2020/1/14,68769719.3
2020/1/15,322001233.9
2020/1/16,162415225.7
2020/1/17,113463580
2020/1/18,172392198.5
2020/1/19,73102474.8
2020/1/20,171406582.8
2020/1/21,78615695.32
2020/1/22,80118406.45
2020/1/23,62159413.04
2020/1/24,140040083.6
2020/1/25,103625698.7
2020/1/26,49103693.89
2020/1/27,90541442.51
2020/1/28,157722446.3
